# And(4) n=11
# q  M(q)  25*M(q)  q^2  25M-q^2  argmax
1 0 0 1 -1  [0,0,0,0,0,0,0,0,0,0,0]
2 0 0 4 -4  [0,0,0,0,0,0,0,0,0,0,0]
3 0 0 9 -9  [0,0,0,0,0,0,0,0,0,0,0]
4 0 0 16 -16  [0,0,0,0,0,0,0,0,0,0,0]
5 1 25 25 0  [1,0,0,0,0,0,0,1,1,1,1]
6 1 25 36 -11  [1,0,0,0,0,0,1,1,1,1,1]
7 1 25 49 -24  [1,0,0,0,0,1,1,1,1,1,1]
8 2 50 64 -14  [1,0,0,0,1,1,1,1,1,1,1]
9 2 50 81 -31  [1,0,0,1,1,1,1,1,1,1,1]
10 4 100 100 0  [2,0,0,0,0,0,0,2,2,2,2]
11 4 100 121 -21  [2,0,0,0,0,0,1,2,2,2,2]
12 4 100 144 -44  [2,0,0,0,0,0,2,2,2,2,2]
13 6 150 169 -19  [2,0,0,1,2,2,1,0,1,2,2]
14 6 150 196 -46  [2,0,0,0,1,2,1,2,2,2,2]
15 9 225 225 0  [3,0,0,0,0,0,0,3,3,3,3]
16 9 225 256 -31  [3,0,0,0,0,0,1,3,3,3,3]
17 9 225 289 -64  [3,0,0,0,0,0,2,3,3,3,3]
18 12 300 324 -24  [3,0,0,1,3,3,1,0,1,3,3]
19 12 300 361 -61  [3,0,0,1,3,2,2,0,2,3,3]
20 16 400 400 0  [4,0,0,0,0,0,0,4,4,4,4]
21 16 400 441 -41  [4,0,0,0,0,0,1,4,4,4,4]
22 16 400 484 -84  [2,2,2,2,2,2,2,2,2,2,2]
23 20 500 529 -29  [4,0,0,1,4,4,1,0,1,4,4]
24 20 500 576 -76  [4,0,0,1,4,2,2,0,3,4,4]
25 25 625 625 0  [5,0,0,0,0,0,0,5,5,5,5]
26 25 625 676 -51  [5,0,0,0,0,0,1,5,5,5,5]
27 25 625 729 -104  [5,0,0,0,0,0,2,5,5,5,5]
28 30 750 784 -34  [5,0,0,1,5,5,1,0,1,5,5]
29 30 750 841 -91  [5,0,0,1,5,3,2,0,3,5,5]
30 36 900 900 0  [6,0,0,0,0,0,0,6,6,6,6]
31 36 900 961 -61  [6,0,0,0,0,0,1,6,6,6,6]
32 36 900 1024 -124  [6,0,0,0,0,0,2,6,6,6,6]
